lag_weeks,r_squared,adj_r_squared,p_delta_yield,p_cpi,p_natgas
0,0.2634,0.2224,0.0027,0.0321,0.0749
1,0.0383,-0.0151,0.6293,0.7603,0.2139
2,0.0874,0.0367,0.7792,0.4051,0.0442
3,0.048,-0.0049,0.9729,0.9545,0.1123
4,0.0467,-0.0053,0.447,0.2392,0.3664
5,0.052,-0.0007,0.7363,0.2943,0.2063
6,0.0482,-0.0047,0.927,0.8262,0.12
7,0.088,0.0373,0.0637,0.189,0.553
8,0.1674,0.1212,0.0042,0.9532,0.426
9,0.0833,0.0324,0.872,0.0775,0.1972
10,0.0541,0.0006,0.2261,0.602,0.191
11,0.0824,0.0304,0.0752,0.2452,0.6942
12,0.029,-0.0259,0.7574,0.8792,0.216
