,weekly_return,cpi,10yr_yield,natgas,delta_yield
2020-07-19,0.01328,258.352,0.6675,1.675,-0.1005
2020-08-16,-0.0515,259.316,0.578,1.818,-0.0895
2020-09-20,-0.00096,259.997,0.682,2.158,0.104
2020-10-18,-0.00997,260.319,0.68,1.648,-0.002
2020-11-15,0.01648,260.911,0.824,3.088,0.144
2020-12-20,-0.01333,262.045,0.92,2.694,0.096
2021-01-17,0.02288,262.639,0.935,2.385,0.015
2021-02-21,-0.01548,263.573,1.14,3.122,0.205
2021-03-21,0.01444,264.847,1.488,2.788,0.348
2021-04-18,0.03209,266.625,1.722,2.5425,0.234
2021-05-16,0.02181,268.404,1.628,2.878,-0.094
2021-06-20,-0.02276,270.71,1.6,3.0325,-0.028
2021-07-18,0.04073,271.965,1.47,3.718,-0.13
2021-08-15,-0.00898,272.752,1.264,4.062,-0.206
2021-09-19,-0.03421,273.942,1.304,4.49,0.04
2021-10-17,-0.00179,276.528,1.514,5.678,0.21
2021-11-21,-0.01462,278.824,1.544,5.476,0.03
2021-12-19,0.01507,280.806,1.434,4.32,-0.11
2022-01-16,-0.0044,282.542,1.512,3.562,0.078
2022-02-20,0.0006,284.525,1.826,5.778,0.314
2022-03-20,-0.01027,287.467,1.802,4.568,-0.024
2022-04-17,-0.00433,288.582,2.386,5.41,0.584
2022-05-15,-0.01815,291.299,2.828,6.806,0.442
2022-06-19,-0.09233,295.072,2.9175,8.5425,0.0895
2022-07-17,0.01435,294.94,3.072,6.346,0.1545
2022-08-21,0.02712,295.162,2.718,8.144,-0.354
2022-09-18,-0.03431,296.421,3.168,9.166,0.45
2022-10-16,-0.02526,297.979,3.832,6.628,0.664
2022-11-20,0.01702,298.708,4.116,4.564,0.284
2022-12-18,-0.0001,298.808,3.632,6.056,-0.484
2023-01-15,-0.0019,300.456,3.8575,4.06,0.2255
2023-02-19,0.00383,301.476,3.478,2.638,-0.3795
2023-03-19,0.03835,301.643,3.98,2.594,0.502
2023-04-16,-0.02105,302.858,3.536,2.01,-0.444
2023-05-21,-0.05069,303.316,3.444,2.036,-0.092
2023-06-18,0.00721,304.099,3.6575,1.93,0.2135
2023-07-16,0.03609,304.615,3.772,2.578,0.1145
2023-08-20,-0.02793,306.138,4.07,2.494,0.298
2023-09-17,0.0457,307.374,4.142,2.568,0.072
2023-10-15,0.02025,307.653,4.58,2.664,0.438
2023-11-19,0.01971,308.087,4.754,3.164,0.174
2023-12-17,0.02373,308.735,4.318,2.72,-0.436
2024-01-21,-0.02945,309.794,3.975,2.6775,-0.343
2024-02-18,0.00207,311.022,4.006,2.204,0.031
2024-03-17,-0.00242,312.107,4.26,1.584,0.254
2024-04-21,0.03519,313.016,4.35,1.702,0.09
2024-05-19,0.01188,313.14,4.606,1.638,0.256
2024-06-16,-0.00253,313.131,4.5525,2.035,-0.0535
2024-07-21,0.01452,313.566,4.3875,2.0775,-0.165
2024-08-18,-0.00328,314.131,4.04,1.898,-0.3475
2024-09-15,0.00609,314.851,3.854,1.942,-0.186
2024-10-20,0.05772,315.564,3.834,2.666,-0.02
2024-11-17,-0.00936,316.449,4.3,1.824,0.466
2024-12-15,-0.02926,317.603,4.25,3.1875,-0.05
2025-01-19,0.03202,319.086,4.575,3.46,0.325
2025-02-16,-0.02948,319.775,4.546,3.308,-0.029
2025-03-16,0.02895,319.615,4.296,3.892,-0.25
2025-04-20,0.02405,320.321,4.134,4.072,-0.162
